underlying	surface	root_indices	suffix_indices	word_indices	lip_output	tb_output
ab-O	ab-O	"a_ab,b_ab"	O_O	"a_ab,b_ab,O_O"	"5,5,5,5,5,-2,-2,5,5,5"	"10,13,16,16,16,14,12,12,12,10"
ab-o	ab-o	"a_ab,b_ab"	o_o	"a_ab,b_ab,o_o"	"5,5,5,5,5,-2,-2,5,5,5"	"10,13,16,16,16,12,8,8,8,10"
ab-u	Eb-u	"a_ab,b_ab"	u_u	"a_ab,b_ab,u_u"	"5,5,5,5,5,-2,-2,5,5,5"	"10,11,12,12,12,8,4,4,4,10"
ag-i	Eg-i	"a_ag,g_ag"	i_i	"a_ag,g_ag,i_i"	"5,5,5,5,5,5,5,5,5,5"	"10,11,12,12,12,-2,-2,1,4,10"
ag-e	ag-e	"a_ag,g_ag"	e_e	"a_ag,g_ag,e_e"	"5,5,5,5,5,5,5,5,5,5"	"10,13,16,16,16,-2,-2,3,8,10"
ag-E	ag-E	"a_ag,g_ag"	E_E	"a_ag,g_ag,E_E"	"5,5,5,5,5,5,5,5,5,5"	"10,13,16,16,16,-2,-2,5,12,10"
ag-a	ag-a	"a_ag,g_ag"	a_a	"a_ag,g_ag,a_a"	"5,5,5,5,5,5,5,5,5,5"	"10,13,16,16,16,-2,-2,7,16,10"
ag-O	ag-O	"a_ag,g_ag"	O_O	"a_ag,g_ag,O_O"	"5,5,5,5,5,5,5,5,5,5"	"10,13,16,16,16,-2,-2,5,12,10"
ag-o	ag-o	"a_ag,g_ag"	o_o	"a_ag,g_ag,o_o"	"5,5,5,5,5,5,5,5,5,5"	"10,13,16,16,16,-2,-2,3,8,10"
ag-u	Eg-u	"a_ag,g_ag"	u_u	"a_ag,g_ag,u_u"	"5,5,5,5,5,5,5,5,5,5"	"10,11,12,12,12,-2,-2,1,4,10"
Ob-i	ob-i	"O_Ob,b_Ob"	i_i	"O_Ob,b_Ob,i_i"	"5,5,5,5,5,-2,-2,5,5,5"	"10,9,8,8,8,6,4,4,4,10"
Ob-e	Ob-e	"O_Ob,b_Ob"	e_e	"O_Ob,b_Ob,e_e"	"5,5,5,5,5,-2,-2,5,5,5"	"10,11,12,12,12,10,8,8,8,10"
Ob-E	Ob-E	"O_Ob,b_Ob"	E_E	"O_Ob,b_Ob,E_E"	"5,5,5,5,5,-2,-2,5,5,5"	"10,11,12,12,12,12,12,12,12,10"
Ob-a	Ob-a	"O_Ob,b_Ob"	a_a	"O_Ob,b_Ob,a_a"	"5,5,5,5,5,-2,-2,5,5,5"	"10,11,12,12,12,14,16,16,16,10"
Ob-O	Ob-O	"O_Ob,b_Ob"	O_O	"O_Ob,b_Ob,O_O"	"5,5,5,5,5,-2,-2,5,5,5"	"10,11,12,12,12,12,12,12,12,10"
Ob-o	Ob-o	"O_Ob,b_Ob"	o_o	"O_Ob,b_Ob,o_o"	"5,5,5,5,5,-2,-2,5,5,5"	"10,11,12,12,12,10,8,8,8,10"
Ob-u	ob-u	"O_Ob,b_Ob"	u_u	"O_Ob,b_Ob,u_u"	"5,5,5,5,5,-2,-2,5,5,5"	"10,9,8,8,8,6,4,4,4,10"
Og-i	og-i	"O_Og,g_Og"	i_i	"O_Og,g_Og,i_i"	"5,5,5,5,5,5,5,5,5,5"	"10,9,8,8,8,-2,-2,1,4,10"
Og-e	Og-e	"O_Og,g_Og"	e_e	"O_Og,g_Og,e_e"	"5,5,5,5,5,5,5,5,5,5"	"10,11,12,12,12,-2,-2,3,8,10"
Og-E	Og-E	"O_Og,g_Og"	E_E	"O_Og,g_Og,E_E"	"5,5,5,5,5,5,5,5,5,5"	"10,11,12,12,12,-2,-2,5,12,10"
Og-a	Og-a	"O_Og,g_Og"	a_a	"O_Og,g_Og,a_a"	"5,5,5,5,5,5,5,5,5,5"	"10,11,12,12,12,-2,-2,7,16,10"
Og-O	Og-O	"O_Og,g_Og"	O_O	"O_Og,g_Og,O_O"	"5,5,5,5,5,5,5,5,5,5"	"10,11,12,12,12,-2,-2,5,12,10"
Og-o	Og-o	"O_Og,g_Og"	o_o	"O_Og,g_Og,o_o"	"5,5,5,5,5,5,5,5,5,5"	"10,11,12,12,12,-2,-2,3,8,10"
Og-u	og-u	"O_Og,g_Og"	u_u	"O_Og,g_Og,u_u"	"5,5,5,5,5,5,5,5,5,5"	"10,9,8,8,8,-2,-2,1,4,10"
ob-i	ub-i	"o_ob,b_ob"	i_i	"o_ob,b_ob,i_i"	"5,5,5,5,5,-2,-2,5,5,5"	"10,7,4,4,4,4,4,4,4,10"
ob-e	ob-e	"o_ob,b_ob"	e_e	"o_ob,b_ob,e_e"	"5,5,5,5,5,-2,-2,5,5,5"	"10,9,8,8,8,8,8,8,8,10"
ob-E	ob-E	"o_ob,b_ob"	E_E	"o_ob,b_ob,E_E"	"5,5,5,5,5,-2,-2,5,5,5"	"10,9,8,8,8,10,12,12,12,10"
ob-a	ob-a	"o_ob,b_ob"	a_a	"o_ob,b_ob,a_a"	"5,5,5,5,5,-2,-2,5,5,5"	"10,9,8,8,8,12,16,16,16,10"
ob-O	ob-O	"o_ob,b_ob"	O_O	"o_ob,b_ob,O_O"	"5,5,5,5,5,-2,-2,5,5,5"	"10,9,8,8,8,10,12,12,12,10"
ob-o	ob-o	"o_ob,b_ob"	o_o	"o_ob,b_ob,o_o"	"5,5,5,5,5,-2,-2,5,5,5"	"10,9,8,8,8,8,8,8,8,10"
ob-u	ub-u	"o_ob,b_ob"	u_u	"o_ob,b_ob,u_u"	"5,5,5,5,5,-2,-2,5,5,5"	"10,7,4,4,4,4,4,4,4,10"
og-i	ug-i	"o_og,g_og"	i_i	"o_og,g_og,i_i"	"5,5,5,5,5,5,5,5,5,5"	"10,7,4,4,4,-2,-2,1,4,10"
og-e	og-e	"o_og,g_og"	e_e	"o_og,g_og,e_e"	"5,5,5,5,5,5,5,5,5,5"	"10,9,8,8,8,-2,-2,3,8,10"
og-E	og-E	"o_og,g_og"	E_E	"o_og,g_og,E_E"	"5,5,5,5,5,5,5,5,5,5"	"10,9,8,8,8,-2,-2,5,12,10"
og-a	og-a	"o_og,g_og"	a_a	"o_og,g_og,a_a"	"5,5,5,5,5,5,5,5,5,5"	"10,9,8,8,8,-2,-2,7,16,10"
og-O	og-O	"o_og,g_og"	O_O	"o_og,g_og,O_O"	"5,5,5,5,5,5,5,5,5,5"	"10,9,8,8,8,-2,-2,5,12,10"
og-o	og-o	"o_og,g_og"	o_o	"o_og,g_og,o_o"	"5,5,5,5,5,5,5,5,5,5"	"10,9,8,8,8,-2,-2,3,8,10"
og-u	ug-u	"o_og,g_og"	u_u	"o_og,g_og,u_u"	"5,5,5,5,5,5,5,5,5,5"	"10,7,4,4,4,-2,-2,1,4,10"
ub-i	ub-i	"u_ub,b_ub"	i_i	"u_ub,b_ub,i_i"	"5,5,5,5,5,-2,-2,5,5,5"	"10,7,4,4,4,4,4,4,4,10"
ub-e	ub-e	"u_ub,b_ub"	e_e	"u_ub,b_ub,e_e"	"5,5,5,5,5,-2,-2,5,5,5"	"10,7,4,4,4,6,8,8,8,10"
ub-E	ub-E	"u_ub,b_ub"	E_E	"u_ub,b_ub,E_E"	"5,5,5,5,5,-2,-2,5,5,5"	"10,7,4,4,4,8,12,12,12,10"
ub-a	ub-a	"u_ub,b_ub"	a_a	"u_ub,b_ub,a_a"	"5,5,5,5,5,-2,-2,5,5,5"	"10,7,4,4,4,10,16,16,16,10"
ub-O	ub-O	"u_ub,b_ub"	O_O	"u_ub,b_ub,O_O"	"5,5,5,5,5,-2,-2,5,5,5"	"10,7,4,4,4,8,12,12,12,10"
ub-o	ub-o	"u_ub,b_ub"	o_o	"u_ub,b_ub,o_o"	"5,5,5,5,5,-2,-2,5,5,5"	"10,7,4,4,4,6,8,8,8,10"
ub-u	ub-u	"u_ub,b_ub"	u_u	"u_ub,b_ub,u_u"	"5,5,5,5,5,-2,-2,5,5,5"	"10,7,4,4,4,4,4,4,4,10"
ug-i	ug-i	"u_ug,g_ug"	i_i	"u_ug,g_ug,i_i"	"5,5,5,5,5,5,5,5,5,5"	"10,7,4,4,4,-2,-2,1,4,10"
ug-e	ug-e	"u_ug,g_ug"	e_e	"u_ug,g_ug,e_e"	"5,5,5,5,5,5,5,5,5,5"	"10,7,4,4,4,-2,-2,3,8,10"
ug-E	ug-E	"u_ug,g_ug"	E_E	"u_ug,g_ug,E_E"	"5,5,5,5,5,5,5,5,5,5"	"10,7,4,4,4,-2,-2,5,12,10"
ug-a	ug-a	"u_ug,g_ug"	a_a	"u_ug,g_ug,a_a"	"5,5,5,5,5,5,5,5,5,5"	"10,7,4,4,4,-2,-2,7,16,10"
ug-O	ug-O	"u_ug,g_ug"	O_O	"u_ug,g_ug,O_O"	"5,5,5,5,5,5,5,5,5,5"	"10,7,4,4,4,-2,-2,5,12,10"
ug-o	ug-o	"u_ug,g_ug"	o_o	"u_ug,g_ug,o_o"	"5,5,5,5,5,5,5,5,5,5"	"10,7,4,4,4,-2,-2,3,8,10"
ug-u	ug-u	"u_ug,g_ug"	u_u	"u_ug,g_ug,u_u"	"5,5,5,5,5,5,5,5,5,5"	"10,7,4,4,4,-2,-2,1,4,10"
